,,Monthly Nominal GDP Index,Monthly Real GDP Index
2020 - Feb,2/1/2020,22112.228,21056.285
2020 - Mar,3/1/2020,21028.945,20035.083
2020 - Apr,4/1/2020,19025.300,18239.410
2020 - May,5/1/2020,19860.707,19003.345
2020 - Jun,6/1/2020,20920.325,19929.421
2020 - Jul,7/1/2020,21468.689,20373.477
2020 - Aug,8/1/2020,21650.791,20515.934
2020 - Sep,9/1/2020,21934.172,20760.622
2020 - Oct,10/1/2020,22086.069,20859.278
2020 - Nov,11/1/2020,21934.329,20658.993
2020 - Dec,12/1/2020,22185.904,20800.474
2021 - Jan,1/1/2021,22615.720,21108.667
2021 - Feb,2/1/2021,22393.383,20821.798
2021 - Mar,3/1/2021,22961.276,21248.726
2021 - Apr,4/1/2021,23220.172,21387.597
2021 - May,5/1/2021,23348.236,21370.946
2021 - June,6/1/2021,23538.175,21412.322
2021 - July,7/1/2021,23781.509,21534.629
2021 - Aug,8/1/2021,23886.693,21522.778
2021 - Sep,9/1/2021,24097.770,21660.650
2021 - Oct,10/1/2021,24561.069,21897.208
2021 - Nov,11/1/2021,24725.092,21898.761
2021 - Dec,12/1/2021,25044.953,22089.209
2022 - Jan,1/1/2022,24990.966,21883.454
2022 - Feb,2/1/2022,25132.083,21848.238
2022 - Mar,3/1/2022,25523.424,21983.875
2022 - Apr,4/1/2022,25604.158,21961.498
2022 - May,5/1/2022,25820.793,21940.586
2022 - Jun,6/1/2022,25992.422,21859.715
2022 - Jul,7/1/2022,26051.240,21941.943
2022 - Aug,8/1/2022,26384.670,22156.913
2022 - Sep,9/1/2022,26380.123,22105.793
2022 - Oct,10/1/2022,26667.094,22227.426
2022 - Nov,11/1/2022,26779.172,22253.629
2022 - Dec,12/1/2022,26756.564,22271.534
2023 - Jan,1/1/2023,27087.761,22409.308
2023 - Feb,2/1/2023,27113.551,22340.979
2023 - Mar,3/1/2023,27291.764,22464.030
2023 - Apr,4/1/2023,27347.002,22474.351
2023 - May,5/1/2023,27466.790,22573.953
2023 - Jun,6/1/2023,27547.653,22573.970
2023 - Jul,7/1/2023,27735.780,22684.503
2023 - Aug,8/1/2023,28014.044,22804.616
2023 - Sep,9/1/2023,28153.267,22857.704
2023 - Oct,10/1/2023,28079.358,22792.944
2023 - Nov,11/1/2023,28236.844,22918.076
2023 - Dec,12/1/2023,28574.699,23174.735
2024 - Jan,1/1/2024,28379.851,22931.886
2024 - Feb,2/1/2024,28701.175,23116.851
2024 - Mar,3/1/2024,28791.181,23116.029
2024 - Apr,4/1/2024,28933.906,23172.573
2024 - May,5/1/2024,29043.180,23257.503
2024 - Jun,6/1/2024,29073.056,23245.770
2024 - Jul,7/1/2024,29343.980,23393.839
2024 - Aug,8/1/2024,29378.243,23405.427
2024 - Sep,9/1/2024,29402.518,23405.879
2024 - Oct,10/1/2024,29653.321,23517.068
2024 - Nov,11/1/2024,29768.157,23591.320
2024 - Dec,12/1/2024,29750.114,23523.081
2025 - Jan,1/1/2025,29901.661,23522.996
2025 - Feb,2/1/2025,29956.088,23490.287
2025 - Mar,3/1/2025,30028.393,23529.212
2025 - Apr,4/1/2025,30309.782,23715.309
2025 - May,5/1/2025,30207.364,23601.124
2025 - Jun,6/1/2025,30554.267,23806.694
2025 - Jul,7/1/2025,30662.766,23854.532
